"Recência","Frequência","Gasto","ID do Cliente","Segmento"
326,17,334.4,"12350","Básico"
391,21,300.93,"12351","Básico"
220,24,406.76,"12353","Básico"
230,35,947.61,"12355","Básico"
303,29,511.25,"12361","Básico"
125,23,552,"12363","Básico"
307,22,641.38,"12365","Básico"
649,3,500.24,"12366","Básico"
20,11,168.9,"12367","Básico"
644,18,917.7,"12368","Básico"
26,17,457.5,"12375","Básico"
405,13,503.15,"12376","Básico"
44,27,585.27,"12384","Básico"
353,18,660.8,"12386","Básico"
431,9,143.94,"12387","Básico"
95,32,549.84,"12390","Básico"
607,7,234.75,"12392","Básico"
690,65,931.43,"12396","Básico"
430,11,205.25,"12400","Básico"
319,5,84.3,"12401","Básico"
65,9,1019.36,"12403","Básico"
698,1,63.24,"12404","Básico"
324,40,1013.71,"12410","Básico"
425,22,346.9,"12411","Básico"
82,51,999.45,"12413","Básico"
233,28,952.41,"12414","Básico"
672,11,202.56,"12416","Básico"
401,25,503.01,"12419","Básico"
79,29,600.39,"12420","Básico"
59,11,256.4,"12430","Básico"
115,16,509.01,"12436","Básico"
478,32,859.2,"12440","Básico"
382,22,347.1,"12441","Básico"
19,12,172.06,"12442","Básico"
748,21,485.31,"12443","Básico"
38,24,434.98,"12445","Básico"
73,58,1002.31,"12446","Básico"
259,26,476.49,"12447","Básico"
60,22,449.45,"12448","Básico"
172,37,688.2,"12450","Básico"
32,22,430.57,"12452","Básico"
150,43,707.09,"12453","Básico"
621,23,454.36,"12459","Básico"
472,18,326.65,"12460","Básico"
110,35,826.88,"12461","Básico"
33,47,742.19,"12465","Básico"
698,1,56.73,"12466","Básico"
439,9,132.8,"12467","Básico"
705,23,211.95,"12470","Básico"
19,36,680.99,"12478","Básico"
27,31,527.2,"12479","Básico"
545,34,708.1,"12485","Básico"
447,49,1037.28,"12486","Básico"
746,2,285.3,"12487","Básico"
352,15,334.93,"12489","Básico"
54,26,460.4,"12491","Básico"
79,42,715.21,"12492","Básico"
181,22,433.74,"12493","Básico"
656,17,357.4,"12495","Básico"
636,13,54.09,"12496","Básico"
37,23,403.7,"12498","Básico"
576,27,393.72,"12499","Básico"
34,20,779.05,"12504","Básico"
424,42,955.2,"12505","Básico"
248,23,73.5,"12506","Básico"
42,69,398.27,"12508","Básico"
300,7,176.5,"12509","Básico"
82,34,138.03,"12512","Básico"
128,35,612.29,"12513","Básico"
369,16,383.7,"12515","Básico"
79,40,726.54,"12519","Básico"
158,38,599.68,"12521","Básico"
55,12,192.72,"12522","Básico"
514,60,973.73,"12525","Básico"
97,32,735.51,"12527","Básico"
544,21,316.48,"12529","Básico"
46,16,349.83,"12532","Básico"
107,34,716.35,"12535","Básico"
424,43,732.94,"12537","Básico"
45,34,640.45,"12538","Básico"
45,52,981.18,"12541","Básico"
500,39,481.88,"12542","Básico"
464,43,980.25,"12543","Básico"
52,19,372.7,"12544","Básico"
91,50,1000.39,"12545","Básico"
213,21,383.58,"12547","Básico"
182,5,95.2,"12548","Básico"
95,57,964.83,"12550","Básico"
373,10,168,"12551","Básico"
54,20,437.82,"12552","Básico"
464,26,468.5,"12554","Básico"
